"","Control Number","Course Number","Section","Day-Hour","Room","Course Title","Unit Credit","Instructor","Exam Group","Restrictions","Department"
"871","10627","141","105 DIS","W 8-9A","105 LATIMER","Chemical Engineering Thermodynamics","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"872","10630","141","106 DIS","Th 8-9A","458 EVANS","Chemical Engineering Thermodynamics","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"873","10633","150A","001 LEC","TuTh 330-5P","100 LEWIS","Transport Processes","4","MULLER, S J","20","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"874","10636","150A","101 DIS","M 3-4P","182 DWINELLE","Transport Processes","","","","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"875","10639","150A","102 DIS","M 2-3P","105 LATIMER","Transport Processes","","","","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"876","10642","150A","103 DIS","Tu 2-3P","105 LATIMER","Transport Processes","","","","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"877","10645","150A","104 DIS","W 2-3P","105 LATIMER","Transport Processes","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"878","10648","150A","105 DIS","Th 10-11A","105 LATIMER","Transport Processes","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"879","10651","150A","106 DIS","Th 9-10A","105 LATIMER","Transport Processes","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"880","10654","154","001 LEC","M 12-1P","9 LEWIS","Chemical Engineering Laboratory","4","CERRETANI, C F","11","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"881","10657","154","101 LAB","MW 1-5P","S1 GILMAN","Chemical Engineering Laboratory","","","","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"882","10660","154","102 LAB","TuTh 1-5P","S1 GILMAN","Chemical Engineering Laboratory","","","","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"883","10663","160","001 LEC","TuTh 8-930A","180 TAN","Chemical Process Design","4","UPADHYE, R S","16","CHEMSTRY & BY CATEGORY","CHEMICAL & BIOMOLECULAR ENGINEERING"
"884","10666","160","101 DIS","Tu 1-4P","175 TAN","Chemical Process Design","","","","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"885","10669","160","102 DIS","Th 1-4P","175 TAN","Chemical Process Design","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"886","10672","160","103 DIS","W 1-4P","175 TAN","Chemical Process Design","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"887","10675","162","001 LEC","MWF 9-10A","106 STANLEY","Dynamics and Control of Chemical Processes","4","MESBAH, A","4","BY CATEGORY","CHEMICAL & BIOMOLECULAR ENGINEERING"
"888","10678","162","101 LAB","Tu 1-3P","212 WHEELER","Dynamics and Control of Chemical Processes","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"889","10681","162","102 LAB","W 1-3P","212 WHEELER","Dynamics and Control of Chemical Processes","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"890","10684","162","103 LAB","Th 1-3P","212 WHEELER","Dynamics and Control of Chemical Processes","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"891","10687","170A","001 LEC","MWF 11-12P","9 LEWIS","Biochemical Engineering","3","ERCEK, D T","8","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"892","10690","170A","101 DIS","W 12-1P","105 LATIMER","Biochemical Engineering","","","","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"893","10693","170A","102 DIS","F 2-3P","B56 HILDEBRAND","Biochemical Engineering","","","","CURRENTLY FULL","CHEMICAL & BIOMOLECULAR ENGINEERING"
"894","10696","C178","001 LEC","TuTh 11-1230P","180 TAN","Polymer Science and Technology","3","BALSARA, N P","13","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"895","10714","185","001 LEC","Th 8-10A","141 MCCONE","Technical Communication for Chemical Engineers","3","CISTON, S M","NONE","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"896","10722","185","101 DIS","Tu 5-6P","3107 ETCHEVERRY","Technical Communication for Chemical Engineers","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"897","11377","185","102 DIS","W 10-11A","B56 HILDEBRAND","Technical Communication for Chemical Engineers","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"898","11380","185","103 DIS","Th 11-12P","B51 HILDEBRAND","Technical Communication for Chemical Engineers","","","","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"899","10723","H193","001 IND","","","Senior Honors Thesis","3","REIMER, J A","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"900","10726","H193","002 IND","","","Senior Honors Thesis","3","ERCEK, D T","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"901","10729","H193","003 IND","","","Senior Honors Thesis","3","RADKE, C J","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"902","10732","H193","004 IND","","","Senior Honors Thesis","3","CERRETANI, C F","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"903","10735","H193","005 IND","","","Senior Honors Thesis","3","IGLESIA, E","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"904","10738","H193","006 IND","","","Senior Honors Thesis","3","MABOUDIAN, R","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"905","10741","H193","007 IND","","","Senior Honors Thesis","3","DRAEMEL, D C","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"906","10744","H193","008 IND","","","Senior Honors Thesis","3","SCIAMANNA, S","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"907","10747","H193","009 IND","","","Senior Honors Thesis","3","WALLMAN, P","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"908","10750","H193","010 IND","","","Senior Honors Thesis","3","ZHANG, W","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"909","10753","H193","011 IND","","","Senior Honors Thesis","3","MULLER, S J","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"910","10756","H193","012 IND","","","Senior Honors Thesis","3","GRAVES, D B","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"911","10759","H193","013 IND","","","Senior Honors Thesis","3","UPADHYE, R S","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"912","10762","H193","014 IND","","","Senior Honors Thesis","3","BALSARA, N P","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"913","10765","H193","015 IND","","","Senior Honors Thesis","3","ALEXANDER, K","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"914","10768","H193","016 IND","","","Senior Honors Thesis","3","SMIT, B","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"915","10771","H193","017 IND","","","Senior Honors Thesis","3","WENT, M","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"916","SEE","H194","1-48 IND","","TBA","Research for Advanced Undergraduates","2-4","","NONE","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"917","10858","195","001 IND","","","Special Topics","2-4","TBA","","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"918","SEE","195","2-5 IND","","TBA","Special Topics","2-4","TBA","","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"919","10873","195","006 IND","TuTh 930-11A","2070 VALLEY LSB","Special Topics","3","WENT, M","10","BY CATEGORY","CHEMICAL & BIOMOLECULAR ENGINEERING"
"920","SEE","195","7-33 IND","","TBA","Special Topics","2-4","TBA","","CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"921","SEE","196","1-49 IND","","TBA","Special Laboratory Study","2-4","","NONE","","CHEMICAL & BIOMOLECULAR ENGINEERING"
"922","11020","197","047 FLD","","UNSCHED NOFACILITY","Field Study in Chemical Engineering","1-4: PF","MAJDA, M M","NONE","JR, SR ; CLASS ENTRY CODE REQ","CHEMICAL & BIOMOLECULAR ENGINEERING"
"923","11023","198","001 LEC","","","Directed Group Study for Undergraduates","1-3: PF","","NONE","JR, SR","CHEMICAL & BIOMOLECULAR ENGINEERING"
"924","11026","198","003 LEC","M 630-9P","160 KROEBER","Directed Group Study for Undergraduates","1-3: PF","GRAVES, D B","NONE","JR, SR","CHEMICAL & BIOMOLECULAR ENGINEERING"
"925","11029","198","004 LEC","","","Directed Group Study for Undergraduates","1-3: PF","BELL, A T","NONE","JR, SR","CHEMICAL & BIOMOLECULAR ENGINEERING"
"926","11031","198","005 LEC","W 7-830P","203 WHEELER","Directed Group Study for Undergraduates","1-3: PF","WENT, M","NONE","JR, SR","CHEMICAL & BIOMOLECULAR ENGINEERING"
"927","SEE","199","12-22 IND","","TBA","Supervised Independent Study and Research","1-4","","NONE","JR, SR","CHEMICAL & BIOMOLECULAR ENGINEERING"
"928","11453","1A","001 LEC","MWF 9-10A","1 PIMENTEL","General Chemistry","3","MARSDEN, P C","9","BY CATEGORY","CHEMISTRY"
"929","11456","1A","002 LEC","MWF 1-2P","1 PIMENTEL","General Chemistry","3","MARSDEN, P C","9","BY CATEGORY","CHEMISTRY"
"930","11459","1A","102 DIS","M 10-11A","100F HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"931","11462","1A","103 DIS","M 12-1P","100D HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"932","11465","1A","104 DIS","M 12-1P","100F HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"933","11468","1A","106 DIS","M 2-3P","100F HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"934","11471","1A","107 DIS","M 3-4P","100D HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"935","11474","1A","108 DIS","M 3-4P","100F HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"936","11480","1A","111 DIS","M 6-7P","100D HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"937","11483","1A","112 DIS","Tu 1-2P","100D HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"938","11486","1A","113 DIS","Tu 1-2P","100F HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"939","11489","1A","114 DIS","Tu 2-3P","100D HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"940","11492","1A","115 DIS","Tu 2-3P","100F HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"941","11495","1A","116 DIS","Tu 3-4P","100D HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"942","11498","1A","118 DIS","Tu 5-6P","100D HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"943","11501","1A","121 DIS","W 10-11A","100D HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"944","11504","1A","122 DIS","W 10-11A","100F HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"945","11507","1A","202 DIS","W 12-1P","100D HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"946","11510","1A","203 DIS","W 12-1P","100F HILDEBRAND","General Chemistry","","","","CURRENTLY NOT OPEN","CHEMISTRY"
"947","11513","1A","204 DIS","W 2-3P","100D HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"948","11516","1A","205 DIS","W 2-3P","100F HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"949","11519","1A","206 DIS","W 3-4P","100D HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"950","11522","1A","208 DIS","Th 1-2P","100D HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"951","11525","1A","209 DIS","Th 1-2P","100F HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"952","11528","1A","210 DIS","Th 2-3P","100D HILDEBRAND","General Chemistry","","","","CURRENTLY FULL","CHEMISTRY"
"953","11540","1A","214 DIS","Th 5-6P","100D HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"954","11543","1A","216 DIS","F 10-11A","100D HILDEBRAND","General Chemistry","","","","CURRENTLY NOT OPEN","CHEMISTRY"
"955","11546","1A","217 DIS","F 10-11A","100F HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"956","11549","1A","218 DIS","F 12-1P","100D HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"957","11552","1A","220 DIS","F 2-3P","100D HILDEBRAND","General Chemistry","","","","","CHEMISTRY"
"958","","1A","101 VOL","","","General Chemistry","","","","CURRENTLY NOT OPEN","CHEMISTRY"
"959","11558","1AD","001 LEC","MWF 12-1P","120 LATIMER","General Chemistry (Digital)","3","PINES, A","11","","CHEMISTRY"
"960","11561","1AL","001 LEC","F 12-1P","1 PIMENTEL","General Chemistry Laboratory","1","SAYKALLY, R J","NONE","","CHEMISTRY"
"961","11564","1AL","002 LEC","W 6-7P","1 PIMENTEL","General Chemistry Laboratory","1","SAYKALLY, R J","NONE","","CHEMISTRY"
"962","11567","1AL","100 LAB","M 1-4P","220 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"963","11570","1AL","110 LAB","M 1-4P","209 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"964","11573","1AL","120 LAB","M 1-4P","205 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"965","11576","1AL","130 LAB","M 6-9P","220 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"966","11579","1AL","140 LAB","M 6-9P","209 LATIMER","General Chemistry Laboratory","","","","CURRENTLY FULL","CHEMISTRY"
"967","11582","1AL","150 LAB","M 6-9P","205 LATIMER","General Chemistry Laboratory","","","","CURRENTLY NOT OPEN","CHEMISTRY"
"968","11585","1AL","160 LAB","M 6-9P","204 LATIMER","General Chemistry Laboratory","","","","CURRENTLY NOT OPEN","CHEMISTRY"
"969","11588","1AL","200 LAB","Tu 8-11A","220 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"970","11591","1AL","210 LAB","Tu 8-11A","209 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"971","11594","1AL","220 LAB","Tu 8-11A","205 LATIMER","General Chemistry Laboratory","","","","CURRENTLY NOT OPEN","CHEMISTRY"
"972","11597","1AL","300 LAB","Tu 1-4P","220 LATIMER","General Chemistry Laboratory","","","","CURRENTLY FULL","CHEMISTRY"
"973","11600","1AL","310 LAB","Tu 1-4P","209 LATIMER","General Chemistry Laboratory","","","","CURRENTLY FULL","CHEMISTRY"
"974","11603","1AL","320 LAB","Tu 1-4P","205 LATIMER","General Chemistry Laboratory","","","","CURRENTLY FULL","CHEMISTRY"
"975","11606","1AL","330 LAB","Tu 1-4P","204 LATIMER","General Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"976","11609","1AL","400 LAB","W 1-4P","220 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"977","11612","1AL","410 LAB","W 1-4P","209 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"978","11615","1AL","420 LAB","W 1-4P","205 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"979","11618","1AL","500 LAB","Th 8-11A","220 LATIMER","General Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"980","11621","1AL","510 LAB","Th 8-11A","209 LATIMER","General Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"981","11624","1AL","520 LAB","Th 8-11A","205 LATIMER","General Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"982","11627","1AL","600 LAB","Th 1-4P","220 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"983","11630","1AL","610 LAB","Th 1-4P","209 LATIMER","General Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"984","11633","1AL","620 LAB","Th 6-9P","220 LATIMER","General Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"985","11636","1AL","630 LAB","Th 6-9P","209 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"986","11639","1AL","650 LAB","Th 1-4P","205 LATIMER","General Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"987","11642","1AL","800 LAB","F 1-4P","220 LATIMER","General Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"988","11645","1AL","810 LAB","F 1-4P","209 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"989","11648","1AL","820 LAB","F 1-4P","205 LATIMER","General Chemistry Laboratory","","","","","CHEMISTRY"
"990","11651","1B","001 LEC","MW 10-11A","120 LATIMER","General Chemistry","4","DOUSKEY, M","9","","CHEMISTRY"
"991","11654","1B","320 LAB","Tu 1-5P","202 LATIMER","General Chemistry","","","","","CHEMISTRY"
"992","11657","1B","350 LAB","Th 6-10P","202 LATIMER","General Chemistry","","","","","CHEMISTRY"
"993","11660","1B","420 LAB","W 1-5P","202 LATIMER","General Chemistry","","","","","CHEMISTRY"
"994","11663","1B","520 LAB","Th 8-12P","202 LATIMER","General Chemistry","","","","","CHEMISTRY"
"995","11666","1B","620 LAB","Th 1-5P","202 LATIMER","General Chemistry","","CURRENTLY FULL","","","CHEMISTRY"
"996","","1B","101 VOL","","","General Chemistry","","DOUSKEY, M","","","CHEMISTRY"
"997","11672","3A","001 LEC","TuTh 8-930A","1 PIMENTEL","Chemical Structure and Reactivity","3","VOLLHARDT, K P","9","","CHEMISTRY"
"998","11675","3A","002 LEC","TuTh 2-330P","1 PIMENTEL","Chemical Structure and Reactivity","3","VOLLHARDT, K P","9","","CHEMISTRY"
"999","","3A","101 VOL","W 5-630P","","Chemical Structure and Reactivity","","VOLLHARDT, K P","","","CHEMISTRY"
"1000","11681","3AL","001 LEC","M 12-1P","1 PIMENTEL","Organic Chemistry Laboratory","2","PEDERSEN, S F","NONE","","CHEMISTRY"
"1001","11684","3AL","002 LEC","W 12-1P","1 PIMENTEL","Organic Chemistry Laboratory","2","PEDERSEN, S F","NONE","","CHEMISTRY"
"1002","11687","3AL","101 LAB","M 9-1P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1003","11690","3AL","102 LAB","M 9-1P","225 LATIMER","Organic Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"1004","11693","3AL","111 LAB","M 1-5P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1005","11696","3AL","112 LAB","M 1-5P","225 LATIMER","Organic Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"1006","11699","3AL","121 LAB","M 6-10P","224 LATIMER","Organic Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"1007","11702","3AL","122 LAB","M 6-10P","225 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1008","11705","3AL","201 LAB","Tu 8-12P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1009","11708","3AL","202 LAB","Tu 8-12P","225 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1010","11711","3AL","211 LAB","Tu 1-5P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1011","11714","3AL","212 LAB","Tu 1-5P","225 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1012","11717","3AL","301 LAB","W 9-1P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1013","11720","3AL","302 LAB","W 9-1P","225 LATIMER","Organic Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"1014","11723","3AL","311 LAB","W 1-5P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1015","11726","3AL","312 LAB","W 1-5P","225 LATIMER","Organic Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"1016","11729","3AL","321 LAB","W 6-10P","224 LATIMER","Organic Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"1017","11732","3AL","322 LAB","W 6-10P","225 LATIMER","Organic Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"1018","11735","3AL","401 LAB","Th 8-12P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1019","11738","3AL","402 LAB","Th 8-12P","225 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1020","11741","3AL","411 LAB","Th 1-5P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1021","11744","3AL","412 LAB","Th 1-5P","225 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1022","11747","3AL","501 LAB","F 9-1P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1023","11750","3AL","502 LAB","F 9-1P","225 LATIMER","Organic Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"1024","11753","3AL","511 LAB","F 1-5P","224 LATIMER","Organic Chemistry Laboratory","","CURRENTLY FULL","","","CHEMISTRY"
"1025","11756","3AL","512 LAB","F 1-5P","225 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1026","11759","3B","001 LEC","TuTh 8-930A","105 STANLEY","Chemical Structure and Reactivity","3","ROBAK, M T","14","","CHEMISTRY"
"1027","11762","3B","002 LEC","TuTh 330-5P","105 STANLEY","Chemical Structure and Reactivity","3","ROBAK, M T","14","","CHEMISTRY"
"1028","","3B","101 VOL","F 4-6P","105 STANLEY","Chemical Structure and Reactivity","","ROBAK, M T","","","CHEMISTRY"
"1029","11768","3BL","001 LEC","W 5-6P","1 PIMENTEL","Organic Chemistry Laboratory","2","PEDERSEN, S F","NONE","","CHEMISTRY"
"1030","11771","3BL","002 LEC","M 5-6P","100 LEWIS","Organic Chemistry Laboratory","2","PEDERSEN, S F","NONE","","CHEMISTRY"
"1031","11774","3BL","101 LAB","M 9-1P","320 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1032","11777","3BL","102 LAB","M 9-1P","321 LATIMER","Organic Chemistry Laboratory","","","","CURRENTLY FULL","CHEMISTRY"
"1033","11780","3BL","103 LAB","M 9-1P","310 LATIMER","Organic Chemistry Laboratory","","","","CURRENTLY FULL","CHEMISTRY"
"1034","11783","3BL","111 LAB","M 1-5P","320 LATIMER","Organic Chemistry Laboratory","","","","CURRENTLY FULL","CHEMISTRY"
"1035","11786","3BL","112 LAB","M 1-5P","321 LATIMER","Organic Chemistry Laboratory","","","","CURRENTLY FULL","CHEMISTRY"
"1036","11789","3BL","113 LAB","M 1-5P","310 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1037","11792","3BL","201 LAB","Tu 8-12P","320 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1038","11795","3BL","202 LAB","Tu 8-12P","321 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1039","11798","3BL","211 LAB","Tu 1-5P","320 LATIMER","Organic Chemistry Laboratory","","","","CURRENTLY FULL","CHEMISTRY"
"1040","11801","3BL","212 LAB","Tu 1-5P","321 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1041","11804","3BL","221 LAB","Tu 6-10P","320 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1042","11807","3BL","222 LAB","Tu 6-10P","321 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1043","11810","3BL","223 LAB","Tu 6-10P","310 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1044","11813","3BL","301 LAB","W 9-1P","310 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1045","11816","3BL","311 LAB","W 1-5P","310 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1046","11819","3BL","401 LAB","Th 8-12P","310 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1047","11822","3BL","411 LAB","Th 1-5P","310 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1048","11825","3BL","421 LAB","Th 6-10P","224 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1049","11828","3BL","422 LAB","Th 6-10P","225 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1050","11831","3BL","501 LAB","F 9-1P","310 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1051","11834","3BL","511 LAB","F 1-5P","320 LATIMER","Organic Chemistry Laboratory","","","","","CHEMISTRY"
"1052","11837","4B","001 LEC","MWF 10-11A","1 PIMENTEL","General Chemistry and Quantitative Analysis","4","WILLIAMS, E","9","","CHEMISTRY"
"1053","11840","4B","102 LAB","Tu 8-12P","216 LATIMER","General Chemistry and Quantitative Analysis","","","","CURRENTLY FULL","CHEMISTRY"
"1054","11843","4B","103 LAB","Tu 11-3P","210 LATIMER","General Chemistry and Quantitative Analysis","","","","CURRENTLY FULL","CHEMISTRY"
"1055","11846","4B","104 LAB","Tu 1-5P","216 LATIMER","General Chemistry and Quantitative Analysis","","","","CURRENTLY FULL","CHEMISTRY"
"1056","11849","4B","105 LAB","W 1-5P","210 LATIMER","General Chemistry and Quantitative Analysis","","","","","CHEMISTRY"
"1057","11852","4B","106 LAB","W 2-6P","216 LATIMER","General Chemistry and Quantitative Analysis","","","","","CHEMISTRY"
"1058","11855","4B","108 LAB","F 12-4P","210 LATIMER","General Chemistry and Quantitative Analysis","","","","CURRENTLY FULL","CHEMISTRY"
"1059","11858","4B","109 LAB","Th 1-5P","210 LATIMER","General Chemistry and Quantitative Analysis","","","","CURRENTLY FULL","CHEMISTRY"
"1060","11861","4B","110 LAB","F 1-5P","216 LATIMER","General Chemistry and Quantitative Analysis","","","","CURRENTLY FULL","CHEMISTRY"
"1061","11864","4B","111 LAB","Th 2-6P","216 LATIMER","General Chemistry and Quantitative Analysis","","","","CURRENTLY FULL","CHEMISTRY"
"1062","11867","4B","112 LAB","Th 6-10P","216 LATIMER","General Chemistry and Quantitative Analysis","","","","CURRENTLY FULL","CHEMISTRY"
"1063","11869","4B","113 LAB","Th 6-10P","210 LATIMER","General Chemistry and Quantitative Analysis","","","","","CHEMISTRY"
"1064","","4B","101 VOL","Tu 6-730P","","General Chemistry and Quantitative Analysis","","DOUDNA CATE, J H","","","CHEMISTRY"
"1065","11873","24","001 SEM","Th 4-5P","262 EVANS","Freshman Seminar","1: PF","TBA","","FR ; CURRENTLY FULL","CHEMISTRY"
"1066","SEE","49","1-8 IND","","TBA","Supplementary Work in Lower Division Chemistry","1-4","","NONE","","CHEMISTRY"
"1067","11911","98","005 GRP","W 6-8P","100D HILDEBRAND","Supervised Group Study","1-4: PF","DOUSKEY, M","NONE","","CHEMISTRY"
"1068","11918","104B","001 LEC","TuTh 930-11A","120 LATIMER","Advanced Inorganic Chemistry","3","YAGHI, O","10","","CHEMISTRY"
"1069","","104B","101 VOL","","","Advanced Inorganic Chemistry","","YAGHI, O","","CURRENTLY NOT OPEN","CHEMISTRY"
"1070","11924","105","001 LEC","MW 9-10A","88 DWINELLE","Instrumental Methods in Analytical Chemistry","4","XU, K","4","BY CATEGORY","CHEMISTRY"
